"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2661","Venda composta 3 itens + Exclusão de item do carrinho ","","Tue Apr 15 12:26:30 BRT 2025","passed","Tue Apr 15 12:26:32 BRT 2025","","Acessar o portal https://www.saucedemo.com/","",""
"","2324","Venda de 1 produto com sucesso","","Tue Apr 15 12:26:25 BRT 2025","passed","Tue Apr 15 12:26:28 BRT 2025","","Acessar o portal https://www.saucedemo.com/","",""
"","1419","Validar componente de filtro de produtos na vitrine","","Tue Apr 15 12:26:32 BRT 2025","passed","Tue Apr 15 12:26:34 BRT 2025","","Acessar o portal https://www.saucedemo.com/","",""
"","2071","Venda 1 produto via página de detalhe de produto","","Tue Apr 15 12:26:28 BRT 2025","passed","Tue Apr 15 12:26:30 BRT 2025","","Acessar o portal https://www.saucedemo.com/","",""
"","2607","Login na plataforma de vendas","","Tue Apr 15 12:26:23 BRT 2025","passed","Tue Apr 15 12:26:25 BRT 2025","","Acessar o portal https://www.saucedemo.com/","",""
